Title,Plot
Veera,"Muthuveerappan (Rajinikanth) comes to the city from his village for a song contest. He meets Ravikanth (Senthil) in the city. They both work hard for the singing contest. Muthu tells Ravikanth about how he fell in love with Devayani (Meena) and how he got her to love him. Devayani is the daughter of a song teacher in his village. He came to this contest so he could win the money and pay off the loan his mother had to the village leader. They both work together and end up winning the song contest. Muthu then goes back to his village with joy and finds out a flood had come and Devayani's house had been destroyed, it was reported that her father and her body had not been found. Muthu thinks that Devayani is dead, and is very sad. He then goes and gives the money to the village leader, paying off his mother's debt. His mother takes him to the city so that they can find a job and so that Muthu can forget about Devayani. When they reach the city Muthu finds out that his song was a big hit. Therefore, he had become very popular. The holder of the song contest (Janakaraj) calls on Muthu to come work for him. Muthu does not want to, but his mother persuades him. He then works for Janakaraj and his daughter falls in love with Muthu. Muthu who is still in love with Devayani refused to marry Janakaraj's daughter Roopa (Roja Selvamani). His mother says Devayani won't come back and she wishes to see his marriage. Therefore, he marries Roopa. Soon after the marriage she goes to the USA for her father's surgery after he suddenly suffers a heart attack. Devayani was in fact alive but has amnesia. Muthu's songs are playing on the radio and Devayani happens to hear it and she remembers again. She promptly gets on the bus to the city from a village where she was helping the fisherman who saved her life. She meets Muthu at the recording studio. He is surprised and overjoyed but doesn't tell her about his marriage to Roopa . Devayani is then adamant to get married soon, so they both get married. He then juggles both of his lives (as Muthu, Devayani's husband and as Veera, Roja's husband). He nearly gets caught when both Roopa and Muthu with Devayani go to the saree shop and bump into each other. So to prove that they are two different people, he takes a photo and manipulates it to show two of him shaking hands. They then all believe Muthu and Veera are different people. A thief who Muthu had caught and handed over to the police takes revenge by kidnapping his wives. The thief also knows that both are one person, and when he comes to save them it is revealed that both are one person. After he saves them both his wives fight over him, one says that he officially married her first (Roopa) while the other(Devayani) says that she fell in love first. His wives don't want to share. When he tries to explain they go away angrily. Muthu then leaves the city to go back to his village. When he gets home he finds them both in his house. The film ends with them both holding his bag as he enters the house."
Rough Romance,"Working as lumberjacks in the Northwest, Billy West (George O'Brien) and his pal Laramie (Eddie Borden) spy two men stealing furs from a trap, but they arrive too late to save the trap owner from being shot. Billy suspects Loup LaTour (Antonio Moreno) and his partner Chick Carson (Harry Cording).
While Marna Reynolds (Helen Chandler) dreams of dances and pick chiffon dresses, her father (David Hartford) is being forced to purchase stolen furs from LaTour and Carson, and LaTour is throwing a few lecherous glances toward Marna. Billy, in a card game, catches LaTour cheating and also suggests he suspects him of theft and murder before further violence is stopped by the sheriff. Billy and Laramie are ambushed and Billy is shot in the shoulder, but kills Carson. Laramie takes Billy to the Reynolds trading post, where Marna ministers to his wound. LaTour convinces the sheriff that Billy murdered Carson and the sheriff is led on a dogsled chase by Laramie.
LaTour returns to the post with intentions of changing his lecherous glances into lecherous action, and the weakened Billy struggles with LaTour as Marna races toward the log-jammed river."
Super Da,"Kathirvel (Ramki) comes to the city to live with his friend Subramani (Livingston). While Reshma (Anusha) is a soft-spoken college student, her mother Gangamma is an heartless lady rowdy. Rahul (Kunal), a college student, falls in love with Reshma at the first sight. Reshma also loves him but to save Rahul's life, she tries to avoid him. Finally, Reshma accepts his love. Gangamma, knowing their love affair, hurts heavily Rahul in front of Kathirvel and Subramani and they reached Rahul to the nearby hospital. Reshma insults Kathirvel for being passive during the attack and Kathirvel tells his tragic past to Reshma. In the past, Kathirvel was in love with Reshma's sister Meenakshi (Sindhuri). They So Gangamma tried to kill Kathirvel but Meenakshi intervened and was accidentally by her mother. Before her death, Kathirvel promised Meenakshi to not kill her mother. Kathirvel is now determined to unite the lovers. What transpires later forms the crux of the story."
Banphool,"Haria lives with his widowed and elderly grandmother at a tea estate. He has no knowledge of his biological father, as his mother died at the time of his birth. He now works as a Mahout (Elephant driver) at the tea estate, with elephant-friend, Raja. He meets and falls in love with a gypsy girl, Gulabi, and both want to get married. But Gulabi has another suitor, none other than Ajay, the only son of the tea estate owner. When Ajay finds out that Gulabi loves Haria, he plans to get rid of Haria but fails. He waits for the right moment and has his men abduct Gulabi. But before he could have his way with her, she is rescued by Raja, but Ajay subsequently shoots Raja to death. An enraged Haria wants to kill Ajay in return, but Ajay's dad stops him from doing so. Then Ajay's dad finds out a secret about his past life and decides to change his last will and testament. Ajay finds out about this and lays in wait with a shotgun to kill his very own father - and anyone else who dares to stand in his way."
The Tiger Makes Out,"Loser Ben Harris (Eli Wallach), an alienated Greenwich Village mailman, decides to get a girl the only way he can—by kidnapping her. Putting his plan into operation one rainy night, he spots an attractive young woman. He races ahead of her and prepares an ambush. However, his would-be target finds shelter from the downpour and he ends up pulling a bag down over Gloria Fiske (Anne Jackson) instead. When he carries her back to his basement apartment and removes the bag, he is dumbfounded to find he has captured a middle-aged housewife. With no alternative, he makes do with the person he has caught, but she proves to be not quite what he envisaged."
The Legend of Billie Jean,"Billie Jean Davy, a teenager in Corpus Christi, Texas, rides with her younger brother, Binx on his Honda Elite 80 to a local lake to go swimming. At a drive-in, Hubie Pyatt, a rowdy local teen, and his friends hit on Billie Jean, but Binx humiliates him by throwing a milkshake in his face. Later, as Billie Jean tells Binx about the weather in Vermont, a place he has always wanted to visit, Hubie steals Binx's scooter.
As Binx goes to retrieve his scooter later that night, Billie Jean goes to the police with her friends Putter and Ophelia. Detective Ringwald is sympathetic, but urges them to wait the problem out. When Billie Jean returns home, she finds Binx beaten, and his scooter severely damaged. The next day, Billie Jean, Binx, and Ophelia go to Mr. Pyatt's shop to get the money to repair the scooter. While initially appearing helpful and understanding, Mr. Pyatt then propositions Billie Jean and then attempts to rape her.
Meanwhile, Binx has found a gun, and when Billie Jean flees from the back of the store, clearly distressed, he turns it on Mr. Pyatt. Mr. Pyatt tells him the gun is unloaded, but Binx fires it, wounding Mr Pyatt in the shoulder. They race away from the shop and become fugitives.
By the time Detective Ringwald realizes that he made a mistake in not listening to Billie Jean, the situation is spinning out of control. Billie Jean wants only the money to fix her brother's scooter and an apology from Mr. Pyatt. With help from Lloyd Muldaur, the teenage son of the district attorney, who voluntarily becomes her ""hostage,"" Billie Jean makes a video of her demands, featuring herself with her long, blond hair chopped into a crew cut. As media coverage increases, Billie Jean becomes a teen icon, and young fans follow her every movement. Facing uncertain dangers, both physical and legal, Billie Jean is forced to turn her friends Putter and Ophelia in to the police for their safety. When Ringwald arrives and demands to know where Billie Jean is, Ophelia defiantly replies, ""Everywhere!""
Mr. Pyatt issues a bounty for her apprehension, and Billie Jean realizes the best plan is to turn herself in. To avoid attracting too much attention, she and her brother Binx both arrive in disguise. But the disguise is blown, and the situation descends into a riot, which results in Binx getting shot. As Binx is taken away in an ambulance, Billie Jean confronts Mr. Pyatt and gets him to admit his actions that led to him being shot. The onlookers (including Hubie), seeing how Billie Jean was exploited and their indirect involvement in it, destroy all the Billie Jean merchandise and leave in disgust. Later, Billie Jean and Binx are in Vermont seeking a fresh start. Binx, after complaining about the cold, admires a red snowmobile."
The Bridge of San Luis Rey,"In the year of 1774, a hundred-year old bridge leading to the chapel of San Luis Rey in Peru, plunges into the deep chasm it spans, killing the five people who are crossing it. Brother Juniper (Donald Woods) is one of the chapel monks, whose faith is rocked by the unfortunate incident. He travels to Lima to seek answers to his questions why these five were chosen by God to die this violent death.
In Lima, Brother Juniper talks to a well known local theatre figure called Uncle Pio (Akim Tamiroff), and asks him about a famous actress, Micaela Villegas (Lynn Bari). Pio then starts telling the story of his encounter with Micaela and the unfortunate events leading up to the tragic accident.
Years ago, when Micaela was working in Lima, she was in love with the bold, exciting Manuel (Francis Lederer). His twin brother, Esteban, loathed Micaela. When Manuel left for Spain, Pio became Micaela's mentor and helped her become an excellent actress, working for the Comedia Theater.
Her celebrity and beauty attracted the viceroy Don Andre's (Louis Calhern) interest, and he asked her to pay him a private visit at his mansion. Just before Micaela is about to go to the viceroy, Manuel returns from his journey and instead of going to the viceroy, she spends the night with her beloved Manuel.
Tension rises between the twin brothers when Manuel discovers all the letters Micaela has written to him, that Esteban neglected to forward to him. Esteban apologizes and feels guilt over what he has done, to the point that he is about to take his own life, but Manuel stops him from hanging himself.
When Estaban has recovered, Manuel embarks on a new long journey. When Micaela once again is invited to the viceroy, she accepts the invitation. Because of the viceroy's interest in Micaela, the Marquesa Dona Maria (Alla Nazimova) feels threatened and decides to get rid of her. The Marquesa pretends to be Micaela's friend to win her confidence, unlike the other prominent guests of the viceroy. This is the end of Uncle Pio's telling of the story.
Juniper goes on to visit the Abbess (Blanche Yurka). She tells him about the Marquesa, whose daughter eloped to Spain and married a young aristocrat. The Marquesa confided her loneliness to the Abbess, and was recommended a young companion, an orphan named Pepita, whom the Marquesa ended up treating badly because of her own bitterness. Pio was also consulted by the Marquesa, about the viceroy and Micaela, but Pio doesn't have any information to give.
The viceroy falls in love with Micaela, and Esteban warns her that the noblemen are scheming to get rid of her. Micaela is upset and turns to Pio for help, and he gives her a song to use during her performance at the castle. The lyrics tell of a scheme take over the throne, and the aristocrat audience is very offended. The viceroy forces Micaela to apologize, but the Marquesa realizes how stupid she has been and in turn apologizes to Micaela. She starts pondering over the human nature and of peoples ability to transform into something better, like Esteban and the Marquesa.
Manuel returns from his travels as a captain, and asks Micaela to come with him. The viceroy enters when they embrace, and demands to see Manuel at his palace. Manuel is arrested that night, since the viceroy sees him as too much competition for Micaela.
When the viceroy is asked to return to Spain again, he asks Micaela to accompany him. She refuses because of Manuel's incarceration. She begs Pio for help to free Manuel from prison, before going on a trip to the mountains with the viceroy and his following.
Pio manages to set Manuel free, but he is interrogated by the viceroy afterwards. Pio advices the viceroy not to kill Manuel, since it will make him a martyr. Following this advice, Manuel is pardoned, and Pio brings the signed document to where Manuel is hiding, by the bridge to San Luis Rey.
Soon after, the viceroy and his small following, including Micaela, the Marquesa, Pepita and their scribe Esteban, arrive at the bridge. The viceroy crosses the bridge to the other side, and is followed by the others. Just as Micaela is about to start crossing, Manuel turns up, stops and kisses her. She manages to take only one step on the bridge when it collapses, sending the viceroy, the Marquesa, Esteban, Pepita and another man to their deaths. Micaela is pulled away and saved by Manuel.[1]"
Paramaatma,The film is about an honest person who finds happiness in spiritual life.
Varasudochhadu,"Bose (Venkatesh) an unemployed guy, once met with an accident and admitted to the hospital. There he meets a TB patient Raghu (Vasanth) who is going to die in few days, both of them becomes good friends. Raghu tells Bose regarding his past, he is the son of Dupathi Seshamma (Nirmalamma) very big landlords in a village. Raghu used to do a lot of mischief in childhood, one day his friend Seenu dies because of his mistake and he runs away from home. After listening to his story, Bose tells him to go back to his village since he will not live for many days he sends Bose in his place.
Bose reaches the village as Raghu, everyone accepts him as Raghu expect Ammiraju (Gollapudi Maruthi Rao) and Subba Raju (Kota Srinivasa Rao) sons-in-law of Dupathi Seshamma who are eagerly waiting for their mother-in-law's property. They try in many ways to eliminate Raghu / Bose but fail, finally, they want to make their daughters Bujji (Sri Durga) and Baby's (Sandhya) marriage with him. Meanwhile, Raghu / Bose falls in love a girl Annapurna (Suhasini) sister of Seenu whom Raghu killed in childhood. In the beginning, she hates him but after knowing the truth, she also loves him. Columbus (Tanikella Bharani) who knows entire story regarding Bose and Raghu comes to the village and starts blackmailing Raghu / Bose. At the same time, original Raghu also enters the village to spend his last days with his mother.
Meanwhile, Ammiraju and Subba Raju play start torturing Annapurna, to remove her from Raghu / Bose's life. Simultaneously, Raghu is in his last minutes even then he sends Bose to protect Annapurna. Seshamma listens to everything and comes to know who is her original son. Finally, Bose saves Annapurna, reveals the truth everyone, Seshamma accepts Bose also as her son and Raghu dies to leave his mother's responsibility to Bose."
Semi-Tough,"Wide receiver Marvin ""Shake"" Tiller and running back Billy Clyde Puckett are football buddies who play for a Miami pro team owned by Big Ed Bookman (Preston).[3] Bookman's daughter Barbara Jane is roommates with both men, and the film depicts a subtle love triangle relationship between Barbara Jane and her two friends.[4][5] She initially has romantic feelings for Shake, who has become more self-confident after taking self-improvement training from seminar leader Friedrich Bismark.[6][7] The program is called Bismark Earthwalk Action Training, or B.E.A.T. After Shake completes his course, he and Barbara Jane sleep together and start a relationship. Barbara Jane is not a follower of B.E.A.T., and Shake is warned by his leader Bismark that ""mixed marriages don't work.""[8]
Barbara Jane is determined to make it work, so she attends B.E.A.T. in an effort to ""get it.""[8] At the end of the training session, she is worn out from Bismark's ""sadistic abuse, pious drivel and sheer double talk.""[8] Barbara Jane also feels guilty that she did not ""get it."" Shake is insistent that the training has had proven results for him, noting that he has not dropped a football pass since completing B.E.A.T.[8] Billy Clyde also has feelings for Barbara Jane and enrolls in B.E.A.T. in order to understand what she is going through.[9] In the training, Billy Clyde is shown coping with the seminar rules forbidding going to the bathroom.[10] For a time Puckett pretends he underwent a conversion to Bismark's way of thinking. While Barbara Jane and Shake are at the altar about to be married, the minister turns to Bismark and gives him some advice on how he can avoid capital gains tax in his business.[8] Billy Clyde ends up exposing the movement's shallow side, and rescues Barbara Jane from both B.E.A.T. and her impending marriage to Shake. After leaving the wedding together, Barbara Jane and Billy Clyde reveal their feelings for each other.[4][9]"
The Madwoman of Chaillot,"The story is of a modern society endangered by power and greed and the rebellion of the ""little people"" against corrupt and soulless authority.
A group of four prominent men – The General (Paul Henreid), The Commissar (Oskar Homolka), The Chairman (Yul Brynner) and The Prospector (Donald Pleasence) – discuss how they can increase their fortunes. The Prospector tells them that there is oil in the middle of Paris and they resolve to acquire the rights with or without the consent of the people of Paris. Countess Aurelia (Katharine Hepburn), the ""madwoman"" of the title, learns of this plan to drill for oil under the very streets of her district from Roderick (Richard Chamberlain) - an activist - and The Ragpicker (Danny Kaye). She enlists the help of her friends, a motley crew of ""little people"" who include, Constance (Margaret Leighton) and Gabrielle (Giulietta Masina). A trial takes place in the Countess's cellar presided over by Aurelia's friend Josephine (Edith Evans) as judge and the Ragpicker as the lawyer for the defense.[1]"
The Haunted House of Horror,"In swinging London, a group of twenty-something friends are attending a rather dull party, and they decide to gather for kicks at an old supposedly haunted mansion where one of their number used to play as a child. Among the group is American ringleader Chris, his bored partygirl girlfriend Sheila, promiscuous Sylvia who has her eye on handsome two-timing Gary, and his ""good girl"" date Dorothy. Also tagging along are nervous, heavy-set Madge and her sarcastic, hot-tempered boyfriend Peter, sweet faced Richard, and his friend Henry. They are all followed by Paul Kellet, Sylvia's older jealous married ex-boyfriend.
They have fun exploring the mansion, even holding a seance before separating one by one by candlelight on the moonlit night. Sylvia, frightened by the mansion, leaves and hitchhikes toward home, but Kellet hangs behind at the mansion. While all the partiers are alone, Gary is brutally knifed; his body is discovered by the panic-stricken Dorothy and the others. Since some of them have a criminal record, Chris convinces the group to leave Gary's body far from the home and to pretend that Gary left and no one knows where he went. They are all shaken by Chris' assertion that one of them must be the murderer.
During the next few weeks, the survivors are possessed by tension and guilt, and after Gary is reported missing, they are further shaken by questioning from the police. Kellet confronts Sylvia, learning that she may have lost a lighter that could link them at the mansion. He returns there where he is also killed.
Dorothy calls the survivors together to ask to confess. However, Chris convinces them to return to the house to discover who among them is the killer before they all succumb to a gruesome death. Meanwhile, Sylvia is visited by the police again, and she discloses the location of the house after learning of Kellet's disappearance. At the mansion, Dorothy becomes hysterical, prompting several of the group to depart, leaving just Chris, Sheila, and Richard. While Sheila is out of the room, Richard recounts a tale of how he was locked in a basement for three days as a child and how he has a paralyzing fear of the dark or anyone he suspects will lock him away. Despite Chris' efforts, he is also knifed and Sheila is frantically chased around the mansion. Just as Richard is about to strike, the moon goes behind a cloud, bringing about his reversion to childhood and fear of the dark, thus saving Sheila as the police arrive."
Rakta Bandhan,"Rakta Bandhan is a family drama/action film starring Mithun Chakraborty in a double role, well supported by Rati Agnihotri, Surinder Kaur, Dina Pathak and Jagdeep. He plays twin brothers Chandan and Trishul Singh who are separated at a young age and grow up in very different circumstances. Chandan grows up to become a simpleton villager and Trishul becomes a dacoit. How the brothers lives are intertwined and how they are reunited forms the plot of the film."
A Mighty Wind,"The film is a mockumentary about a memorial concert for fictional folk music producer Irving Steinbloom. Upon his death, his children organize a concert, which they hope to feature his three most famous acts: The Folksmen, The New Main Street Singers, and Mitch & Mickey.
The Folksmen trio — Mark Shubb (Harry Shearer), Alan Barrows (Christopher Guest), and Jerry Palter (Michael McKean) — were once the most popular of the acts but have not appeared together in decades. They had several minor hits, and their most famous song was ""Old Joe's Place."" Despite not playing or seeing each other for many years, their reunion (a cookout) is a very positive affair as the Folksmen give each other big hugs and are happy to see one another.
The New Main Street Singers are the second generation of the original Main Street Singers, formed by George Menschell (Paul Dooley), the only living member of the original group. Menschell sings and holds a guitar he cannot play. Performers include Terry Bohner (John Michael Higgins) and his wife Laurie Bohner (Jane Lynch). Laurie, a former adult film star, and her husband are founders of Witches in Nature's Colors (WINC), a coven of modern-day witches that worships the power of color. Another member is Sissy Knox (Parker Posey), a former juvenile delinquent and daughter of one of the original Main Street Singers. They are managed by Mike LaFontaine (Fred Willard), whose fifteen minutes of fame came by way of a failed 1970s sitcom, Wha' Happened?. The show lasted for less than one season and has largely been forgotten, but LaFontaine is constantly quoting the titular tagline to the puzzlement of others. The group, which is otherwise entirely white, includes one Filipino American member, Mike Maryama (played by Mark Nonisa), and is known for their needlessly complex nine-part harmonies.
Mitch Cohen (Eugene Levy) and Mickey Crabbe (Catherine O'Hara) comprised Mitch & Mickey, a former couple that released seven albums until their dramatic break-up years before the setting of the film. Mickey seemingly moved on and has married a medical supply salesman, but Mitch had an emotional breakdown and has never fully recovered. Their most famous song was ""A Kiss at the End of the Rainbow,"" at the end of which the pair would kiss on stage.
The three groups, which had sunk to various levels of musical irrelevance since their respective heyday, agree to the reunion performance, to be held at The Town Hall in New York and televised live on PBN (a reference to PBS). The film features rehearsals for the show along with interviews with the performers discussing their activities over the previous years and their feelings about performing again. The Folksmen are very enthusiastic, and work hard to relearn their songs, and hope to wow the audience. Mitch and Mickey (particularly Mitch) are very apprehensive about how it will go.
The show itself goes off with only two hitches: The song that The Folksmen intend to open their set with is played first by the New Main Street Singers (a song called ""Never Did No Wanderin'"", which the Folksmen sing in a rugged, emotional manner consistent with the spirit of the song, while the New Main Street Singers perform it in their usual peppy, upbeat way), and Mitch temporarily disappears minutes before he and Mickey are to perform. It turns out that Mitch had gone to buy a rose for Mickey, which she accepts with gratitude as they go on stage. Mitch and Mickey perform ""A Kiss at the End of the Rainbow"", and after a suspenseful pause, they do the much-anticipated kiss at the end. In the finale, all three acts join together to sing ""A Mighty Wind.""
The film then jumps to interviews with many of the performers six months after the concert in which they detail subsequent events. Mickey is performing ""The Sure-Flo Song"" (about a medical device used for bladder control) at her husband's trade show booth. Mitch is writing poetry again, claiming to be in a ""prolific phase."" Mickey claims that Mitch overreacted to their onstage kiss, while Mitch insists that Mickey's feelings for him returned. LaFontaine is trying to drum up interest for a sitcom starring the New Main Street Singers. He wants to call it ""Supreme Folk"" and have each play Supreme Court judges by day, folk singers sharing a house by night. The Folksmen have reunited, but with Mark Shubb now a transgender woman, she continues to sing in her deep bass voice."
For Love Alone,"In the 1930s, Teresa (Buday) is a naive young woman dealing with the oppressive attitudes of society and her father's austere ways. She has a fling with university Latin professor Jonathan Crow (Weaving). It takes her some time to realize that he does not desire a serious relationship. Teresa then starts dating liberal-minded banker James Quick (Neill). Once she's settled down with Quick, the idealistic Teresa becomes enamored with another intellectual, poet Harry (Williams). Quick encourages the affair, hoping that Teresa will come to realize that there's more to true love than mere sexual impulsivity."
Smashed,"Kate Hannah (Mary Elizabeth Winstead), an elementary school teacher, arrives at work hungover and vomits in front of her class. Asked by a student if she is pregnant, she pretends she is, then continues the lie to the school principal, Mrs. Barnes (Megan Mullally). Her co-worker Dave (Nick Offerman) reveals that he knows she has been drinking and she makes him swear not to tell anyone.
Attending a party with her husband Charlie (Aaron Paul) and his brother Owen (Kyle Gallner), Kate drinks heavily. While leaving, she meets a woman who asks Kate for a ride. Kate is offered crack and the two get high together. The next morning, Kate wakes alone on the street. She finds her car and drives home, where Charlie acknowledges they both are alcoholics. They get intoxicated and have sex before Charlie passes out. Kate heads out alone to buy wine but is turned down by the cashier. She urinates on the floor because the bathroom door is locked, then steals a bottle of wine.
Waking up, Kate realizes she has passed out again. At work, Dave, a recovering alcoholic, invites her to an Alcoholics Anonymous (AA) meeting. There, she befriends Jenny (Octavia Spencer), who has chosen a passion for food and cooking over alcohol. Kate decides to become sober and change her life. Dave drives Kate home, but bluntly makes an offensive comment which upsets her. When Kate and Charlie visit her estranged alcoholic mother, Rochelle (Mary Kay Place), Kate mentions the AA meetings but Rochelle is skeptical; Kate's father left them after getting sober and now lives in another state with his ""shiny new family"".
Kate is surprised the next day when she is thrown a baby shower by her colleagues. She reconciles with Dave, putting his comments behind them. At home, Kate is angry when it becomes clear Charlie told Owen and his friend about Kate smoking crack. That night, she rebuffs Charlie's sexual advances. At school, Kate is questioned by a curious student as to why she is not gaining weight. She subsequently feigns a miscarriage and her students accuse her of killing her baby, for which she reprimands them.
Kate tells Charlie she feels she must confess to Mrs. Barnes the truth about her faked pregnancy. Charlie discourages her, warning that she will lose her job, and they begin to fight over financial issues. Kate lashes back that she would never depend on Charlie's parents' money and that she has struggled her whole life. Kate decides to tell Mrs. Barnes the truth and is fired. In a bar, she relapses. Jenny and Dave drive her home, where she starts an altercation with Charlie.
After some time, Kate speaks at an AA meeting, celebrating one year of sobriety, while Charlie gets in trouble for riding a bicycle while drunk. Kate visits Charlie and they play croquet. Charlie asks if she would move back in with him if he begins going to AA meetings. Kate says he must get sober for himself, not for her. Charlie then asks Kate to play another round, to give him a chance to redeem himself. The film ends before Kate gives her answer."
Red Swastik,"Sarika (Deepshika) is a single mother who lives in Mumbai with her physically challenged daughter Anjali and works as an editor for a magazine. One day she gets a phone call from a female reader who is upset because her submission was not printed. The caller seems threatening so Sarika notifies her friend, D.C.P. Chaudhary, but he is unable to provide any assistance. Then late one night Sarika gets a visit from Chaudhary and Crime Branch Inspector Sunil Ranade, who inform her that a businessman had been brutally knifed to death with a blood-smeared swastika mark on his forehead. They inform her that they re-dialed the last number from the victim's phone number and found that it was her work number. They also informed her that they suspect that the killer is a woman who has killed another male in Delhi in a similar fashion and her modus operandi appears to be to kill married males who are unfaithful to their respective spouses. They provide her with a recording machine in case the killer calls again. The female does call again and attempts to befriend Sarika, but gets upset and evasive when questioned about her identity and whereabouts. Shortly thereafter the police find another dead male victim, but the killer never leaves any clues."
I Cheated the Law,"In court, criminal attorney John Campbell defends a man, Frank Bricolle, who is charged with murdering a night watchman in a fur warehouse during a robbery. Frank having saved his life during the war, John believes in him so much that both he and wife Ruth provide the defendant with an alibi, resulting in his acquittal.
Frank later confesses to John how he did indeed commit the crime, aided by Joe Corsi and other accomplices. John expresses regret for his actions and leaves Ruth, wanting to be alone for a while. He is actually busy scheming to frame Corsi for the murder. Corsi tries to avoid a conviction by accusing Bricolle in the courtroom, where Bricolle pulls a gun and tries to shoot his way out. He is killed, and John returns home to Ruth."
 Passengers,"Psychotherapist Claire Summers is called upon by her supervisor, Perry Jackson, to treat a group of five survivors of a recent plane crash; passengers Dean, Norman, Shannon, Eric, and flight attendant Janice. Claire talks to Eric in the hospital, who seems unusually upbeat. When Claire holds a counselling session for the survivors (except Eric, who decided not to come), she receives different recounts, with some not even remembering certain parts of the crash. Afterwards, Claire meets up with Mr. Arkin, who is seemingly an official from the airline to confirm which parts of their recounts are true. He however dismisses her, claiming that the crash was the pilot's fault. She then proceeds to Eric's home for a private counselling, with Eric becoming attracted to her. Claire becomes suspicious of him when he reveals personal information about her, including how he knows what type of coffee she likes and asking whether she has a sister.
At the next session, Dean does not show up, concerning Claire. Afterwards, Norman then carpools with her and shares his theory about how he suspects the airline is targeting them to cover up a mechanical failure in the plane. In the meantime, Eric becomes increasingly friendly towards Claire, with him even giving her a spare key to his house. Back in her apartment, Claire is divided between her job and her feelings for Eric. Her kind neighbor advises her to take the chance before it disappears because in life, moments like this are here one minute and gone the next.
Norman fails to attend the next counselling, leaving only Janice and Shannon. Mr. Arkin shows up and warns Claire to make sure she is not feeding the survivors her theories about the plane crash. Claire spends the rest of the day with Eric, including a small trip outside the harbor in his boat, where she gives in to Eric's advances. Back at her place with Eric, she confesses to him that she and her sister Emma haven't spoken to each other in months because she called Claire a coward and that she was wasting her life away. She goes to Emma's house to make peace with her the next day, but nobody answers her. Claire then meets a man who claims he was a survivor of the plane crash and begs her to help him. When she takes him to the airport to meet Mr. Arkin, the man recognizes him and angrily blames him for the crash. Mr. Arkin, however, claims he has nothing to do with it. In the next moment, the man disappears from the scene which confuses Claire, but then she realizes she is late for the counselling session.
Eric returns to the site of the plane crash and has frightening memories about it. Meanwhile, it is shown that Shannon is now the only one attending the session and she runs into Claire after seeing a mysterious couple outside the building. Eric runs into them and Claire takes them back to her apartment for the night. Eric then becomes convinced that he didn't survive the crash and attempts to commit suicide by standing in front of a train. When it seemingly fails, he angrily tells Claire to leave him alone. Distressed, she returns home only to find that Shannon has disappeared. Her neighbor tells her that she left with a man and woman, shocking Claire. She then goes to see her supervisor who is convinced she is just latched on to some elaborate theory to cover up what really happened during the crash. Frustrated, Claire returns to Emma's house where she meets Mr. Arkin. He tearfully explains the pilot of the plane was tired because he was in the middle of a divorce and he left the co-pilot to handle the plane, which resulted in the crash. However, Claire does not believe him and he leaves. She notices his briefcase has been left behind and is hysterical when she finds a ledger containing the names of the staff- the pilot is revealed to be Mr. Arkin- and passengers on the plane, including hers.
By daylight, she returns to the harbor and finds Eric on his boat. She tells him about the ledger and asks why he didn't tell her that both of them, the other passengers and Mr. Arkin never survived the crash. He tells her it's the kind of thing she had to figure out herself and reveals that departed people from their past came to help them to transition and accept their own death, such as his grandfather (William B. Davis) and childhood pet dog, and it is revealed that Shannon was helped by her mother and father, who are revealed to be the couple outside the building. Claire realizes her supervisor and neighbor are actually Mr. Perry her elementary teacher and her aunt Toni. She and Eric then sail away from the harbor, sharing a kiss as they cross over to heaven.
A flashback shows Claire and Eric sitting in adjacent seats on the plane, along with the other passengers, Mr. Arkin (who is revealed to be the pilot on the plane) and the man who blamed him. During the flight, Claire and Eric share a conversation and develop feelings for each other. When the plane depressurizes, Eric tells her to stay with him and they'll be alright. Claire smiles and caresses Eric's face as the screen fades to white.
The film ends with Emma and her husband being let into Claire's apartment by the landlord, where she finds a note Claire was planning to send to make peace with her."
The V.I.P.s,"The film is set within Terminal 3 of London Heathrow Airport during a fog. As flights are delayed, the VIPs (very important people) of the title play out the drama of their lives in a number of slightly interconnected stories. The delays have caused serious hardship for most of the characters and have plunged some of them into a deep personal or financial crisis.
The central story concerns famed actress Frances Andros (Elizabeth Taylor) trying to leave her husband, millionaire Paul Andros (Richard Burton), and fly away with her suitor Marc Champselle (Louis Jourdan). Because of the fog, Andros has the opportunity to come to the airport to persuade his wife not to leave him.
Film producer Max Buda (Orson Welles) needs to leave London, taking his newest protégée Gloria Gritti (Elsa Martinelli) with him, by midnight if he is to avoid paying a hefty tax bill. The Duchess of Brighton (Margaret Rutherford), meanwhile, is on her way to Florida to take a job, which will pay her enough money to save her historic home.
Les Mangrum (Rod Taylor), an Australian businessman, must get to New York City to prevent his business from being sold. His dutiful secretary, Miss Mead (Maggie Smith), is secretly in love with him. It being a matter of great urgency, she decides to approach Andros and ask him to advance a sum of money that will save Mangrum's company.
Buda spots a poster picturing the Duchess's home. She is offered a sum of money if she will permit Buda to use it as a location in a film, enough to keep the house she loves. Andros, meanwhile, about to lose the woman he loves, is spared a possible suicide at the last minute when he and his wife reconcile."
